commodity,n_markets,mean_modal,std_modal,min_modal,max_modal,price_gap,price_gap_ratio,cv,norm_cv,norm_price_gap_ratio,integration_score,integration_rank,integration_level
Plum,3,4716.666666666667,2456.793302932368,2850.0,7500.0,4650.0,0.9858657243816253,0.5208749052153431,0.2657033689499655,0.0367674394666857,0.7677715258859814,150,Moderately Integrated
Round gourd,7,1687.142857142857,840.133209392302,800.0,3100.0,2300.0,1.363251481795089,0.4979621054823128,0.2540153263505143,0.05084187947218659,0.7663673814557425,151,Fragmented
Rose(Local),27,11370.37037037037,5189.843247582044,3000.0,25000.0,22000.0,1.9348534201954397,0.4564357253573784,0.23283231486538558,0.07215952867066887,0.7662883143318068,152,Fragmented
Betal Leaves,20,12402.5,6153.999020748087,3000.0,22000.0,19000.0,1.5319492037895586,0.4961902052608818,0.25311146276721735,0.05713338867897024,0.7632161262807072,153,Fragmented
Karbuja(Musk Melon),12,4425.0,2179.710155877695,800.0,8000.0,7200.0,1.6271186440677967,0.4925898657350723,0.2512748944630181,0.06068269214694838,0.762219762442131,154,Fragmented
Drumstick,203,7640.142857142857,2556.125778271149,800.0,30040.0,29240.0,3.827153568557058,0.3345651810530477,0.17066496168095951,0.14273205131448674,0.7613844025115559,155,Fragmented
Field Pea,10,6750.0,3500.0,3000.0,12000.0,9000.0,1.3333333333333333,0.5185185185185185,0.2645013531154028,0.04972609495374936,0.7609032983363636,156,Fragmented
Banana,345,4136.965909090909,1776.9513477383773,50.0,11000.0,10950.0,2.6468673517317534,0.42953009204972137,0.21910748891966003,0.09871378294664422,0.75882824275844,157,Fragmented
Lemon,260,10037.423076923076,4787.794205991407,667.0,23000.0,22333.0,2.2249734646879182,0.4769943609330336,0.24331947536932244,0.0829794313309831,0.7539778514089984,158,Fragmented
Green Peas,25,15794.84,8372.862103645723,3200.0,29000.0,25800.0,1.633444846544821,0.5301011028694005,0.2704097423512101,0.06091862515575025,0.7511294917215618,159,Fragmented
Squash(Chappal Kadoo),9,1422.2222222222222,804.3285674675769,900.0,3500.0,2600.0,1.828125,0.56554352400064,0.28848926702022926,0.06817913800299229,0.7370997926224157,160,Fragmented
Pumpkin,373,1851.2332439678285,738.2926444062274,400.0,8280.0,7880.0,4.256621917133713,0.39881125018250685,0.20343750809962854,0.15874888922520125,0.7341139230019326,161,Fragmented
Pomegranate,132,10885.912408759124,5815.604522563377,2700.0,30000.0,27300.0,2.507828372570187,0.5342321621000709,0.27251703595266935,0.0935283838365989,0.7320400811813885,162,Fragmented
Tomato,553,4173.881294964029,1394.0455497912308,110.0,22040.0,21930.0,5.254102464883108,0.33399262012391395,0.17037289276714407,0.1959494985491295,0.7318916870246343,163,Fragmented
Marigold(Calcutta),29,11094.827586206897,5873.067232648697,750.0,30000.0,29250.0,2.6363636363636362,0.5293518251649175,0.2700275284868699,0.0983220513858226,0.7308074009077691,164,Fragmented
Apple,232,7692.801960784313,4055.4511560042597,1996.0,24000.0,22004.0,2.8603362093772917,0.5271747767169597,0.26891699484203907,0.10667501246035704,0.7269597342027665,165,Fragmented
Brinjal,532,2987.886827458256,1404.2798469874722,70.0,11040.0,10970.0,3.671491135202062,0.469990976258652,0.23974698054685362,0.13692668760818008,0.7263885575295141,166,Fragmented
Beetroot,192,3668.9583333333335,1625.9762941843783,900.0,16540.0,15640.0,4.262790301516097,0.44317109829566836,0.22606589923876955,0.1589789364758335,0.721998287863409,167,Fragmented
Snakeguard,212,2745.4245283018868,1143.9133418286197,800.0,13780.0,12980.0,4.727866261189286,0.4166617330166269,0.21254321347901972,0.17632374497439482,0.7200113689172641,168,Fragmented
Bhindi(Ladies Finger),449,2436.750556792873,1081.8357043519259,60.0,11040.0,10980.0,4.506000817109207,0.4439665362283873,0.22647165988570767,0.1680493683699335,0.7170920909316555,169,Fragmented
Orange,60,7458.730158730159,4581.973265598178,1500.0,20000.0,18500.0,2.4803149606299213,0.6143100994524052,0.3133655727511221,0.09250228293561644,0.7113044059973331,170,Fragmented
Spinach,49,2112.2244897959185,1243.9124645198128,8.0,6000.0,5992.0,2.836819679417192,0.588911107947621,0.300409299482471,0.1057979735590231,0.7111327178937811,171,Fragmented
Cucumbar(Kheera),291,2781.2013651877132,1531.681262578842,600.0,11040.0,10440.0,3.7537735061824145,0.5507264888299317,0.2809309528774512,0.13999537335247156,0.7037662555336371,172,Fragmented
Pear(Marasebu),18,5226.587619047619,3376.2327030536635,1805.56,16000.0,14194.44,2.715814032901737,0.6459726592450918,0.32951695328848635,0.10128511985759758,0.698908688188559,173,Fragmented
Leafy Vegetable,10,2484.0,1689.1496874660536,40.0,6000.0,5960.0,2.399355877616747,0.680011951475867,0.3468807282214526,0.08948294864865526,0.6962025120121659,174,Fragmented
Onion,546,4848.02486678508,1743.8932931477998,1205.0,34140.0,32935.0,6.793488256556844,0.35971211804122727,0.18349265948254478,0.2533602315845451,0.6959654716338722,175,Fragmented
Cauliflower,292,4000.2294520547944,1875.5636253688044,500.0,22540.0,22040.0,5.50968394792422,0.4688640108895217,0.23917210452140164,0.20548130036972131,0.6922075541540467,176,Fragmented
Lime,63,8033.650793650793,5766.733100316124,2000.0,20000.0,18000.0,2.2405753576226983,0.717822226586414,0.3661681182976629,0.08356129723813292,0.6897838929690315,177,Fragmented
Capsicum,157,5860.509554140127,2918.915937725974,1450.0,32540.0,31090.0,5.3049994565808065,0.49806521271924564,0.2540679223576206,0.19784768003064448,0.6887452675314555,178,Fragmented
Cluster beans,187,3360.3208556149734,1692.35310626451,1500.0,19280.0,17780.0,5.291161399153379,0.5036284268618724,0.2569057721466691,0.19733159561243568,0.6876456499951874,179,Fragmented
Green Chilli,476,4634.429166666667,2621.1141305101646,300.0,22500.0,22200.0,4.7902339644490555,0.5655743212913128,0.2885049770185501,0.17864972172515176,0.6815913828693607,180,Fragmented
Cabbage,323,2539.622291021672,1239.9531997774002,700.0,16580.0,15880.0,6.252898336945841,0.48824315496088033,0.24905759490608043,0.2331991623293328,0.6746469497397468,181,Fragmented
Amphophalus,23,7971.304347826087,5592.009969060422,4600.0,33040.0,28440.0,3.5677975346351043,0.7015175591163396,0.3578509484109381,0.13305947923726355,0.6707311059440535,182,Fragmented
Mashrooms,54,10722.388888888889,8879.92692137333,2000.0,30000.0,28000.0,2.6113583726677825,0.8281668398145103,0.42245598163418685,0.09738949079815992,0.6579616271117413,183,Fragmented
Mango (Raw-Ripe),96,10132.1875,6069.116506088319,4500.0,66040.0,61540.0,6.073713104894674,0.5989937026025544,0.30555252934582017,0.22651652593186833,0.6527120932017971,184,Fragmented
Garlic,192,25218.21761658031,14662.892207538602,3000.0,176040.0,173040.0,6.861706193154221,0.5814404661929057,0.2965984522664288,0.2559043902791377,0.6441212039008875,185,Fragmented
Coriander(Leaves),203,5712.901477832513,4095.241482761002,6.0,30000.0,29994.0,5.250221820975598,0.7168409080134786,0.3656675381233611,0.19580477159855963,0.6404212189827996,186,Fragmented
Potato,536,3160.452205882353,1736.6732463426572,500.0,27540.0,27040.0,8.555737672498932,0.5495015058637164,0.2803060771198157,0.31908256792653933,0.6252389018123965,187,Fragmented
Pineapple,47,6507.234042553191,5179.999874990624,960.0,37540.0,36580.0,5.621436044990845,0.7960371243936678,0.4060663004549945,0.20964904691223304,0.618920901896165,188,Fragmented
Bitter gourd,383,3728.564766839378,2095.747568868384,25.0,33040.0,33015.0,8.854613521434437,0.5620788962839722,0.286721926633394,0.3302290145592014,0.6184479531966763,189,Fragmented
Carrot,225,5376.946666666667,3232.15700268412,600.0,46780.0,46180.0,8.588517398969923,0.6011138296612178,0.30663402683484964,0.3203050737698302,0.614651156658742,190,Fragmented
Ginger(Dry),23,8083.04347826087,7710.226051858078,250.0,34000.0,33750.0,4.175407455220268,0.9538766026181259,0.48658175761683414,0.15572003069165702,0.608901486388785,191,Fragmented
Banana - Green,255,3000.9882352941177,2037.153723982714,52.0,30280.0,30228.0,10.0726819400668,0.6788276275208586,0.34627659302195823,0.37565635394300856,0.580742706481442,192,Fragmented
Coconut,184,4972.5668449197865,3605.83243033686,15.0,47000.0,46985.0,9.448842311290825,0.7251450896071416,0.36990358214029523,0.35239052248068914,0.5806209272370845,193,Fragmented
Amaranthus,193,2940.103092783505,2152.4082162111304,40.0,28040.0,28000.0,9.523475577685053,0.7320859671534053,0.3734441914671143,0.35517393814926,0.5784967673698564,194,Fragmented
Methi(Leaves),12,3227.4166666666665,3740.7542374702343,8.0,12500.0,12492.0,3.870587931524181,1.1590552518692145,0.5912453875916339,0.14435191725735583,0.5761705190519455,195,Fragmented
Colacasia,132,5413.522727272727,4362.554303721003,400.0,49540.0,49140.0,9.077268624446358,0.8058623789908442,0.41107825864518915,0.3385328411549321,0.5715555874755491,196,Fragmented
French Beans (Frasbean),45,5620.888888888889,6215.630891046972,1500.0,44040.0,42540.0,7.5681979916185655,1.1058092436827458,0.5640840795373839,0.28225269897000005,0.5416129991238219,197,Fragmented
Ginger(Green),297,10862.356902356902,8847.988729727202,1500.0,137540.0,136040.0,12.523985468612452,0.8145551475856382,0.4155125246810703,0.4670766679587,0.5311833319290429,198,Fragmented
Cowpea(Veg),103,4522.190476190476,4409.974703606234,50.0,46780.0,46730.0,10.333487774571951,0.9751855271963745,0.49745164785814,0.3853829957113298,0.5311140855705758,199,Fragmented
Ashgourd,184,2433.0978260869565,4769.753596091411,800.0,66040.0,65240.0,26.813554021756126,1.9603624420487828,1.0,1.0,0.3333333333333333,200,Fragmented
