commodity,n_markets,mean_modal,std_modal,min_modal,max_modal,price_gap,price_gap_ratio,cv,norm_cv,norm_price_gap_ratio,integration_score,integration_rank,integration_level
Mustard,109,5898.137614678899,375.46567303495385,4500.0,6852.0,2352.0,0.398769942930205,0.06365834396615627,0.03247274208111571,0.014871954035136442,0.9547954973259376,42,Highly Integrated
Linseed,7,5704.285714285715,512.6437080746933,5000.0,6265.0,1265.0,0.22176308539944903,0.0898699212753031,0.04584352329326391,0.008270559181357074,0.9486639222696053,43,Highly Integrated
Soyabean,103,4295.156521739131,343.6236617290437,3300.0,5100.0,1800.0,0.4190766950842506,0.0800025936167534,0.04081010322414785,0.015629285649497185,0.9465758381710665,44,Highly Integrated
Jute,5,5194.0,519.7884184935251,4600.0,6000.0,1400.0,0.2695417789757412,0.10007478215123702,0.05104912234833904,0.010052445071512674,0.9424168531119741,45,Highly Integrated
gulli,2,3800.0,424.26406871192853,3500.0,4100.0,600.0,0.15789473684210525,0.11164843913471803,0.05695295764697154,0.0058886165076808454,0.9408739969504538,46,Highly Integrated
Masur Dal,25,8895.8,903.7994799732959,7700.0,11000.0,3300.0,0.3709615773735921,0.10159844870312912,0.051826359515921024,0.013834852965503911,0.9383845337407648,47,Highly Integrated
Wheat,316,2660.7687861271675,207.93939336432902,2012.0,4000.0,1988.0,0.7471524810292128,0.07815011753313272,0.03986513710773693,0.027864731412441043,0.9365664757378678,48,Highly Integrated
Coconut Seed,8,3812.5,418.96982503005415,3100.0,4400.0,1300.0,0.34098360655737703,0.10989372459804699,0.056057860649072935,0.012716837398008033,0.9356508923978557,49,Highly Integrated
Kulthi(Horse Gram),7,6386.285714285715,747.361963684201,4854.0,7000.0,2146.0,0.3360325697924123,0.11702607699063633,0.05969614316234905,0.012532190604787429,0.932637171120659,50,Highly Integrated
Nutmeg,2,22000.0,2828.42712474619,20000.0,24000.0,4000.0,0.18181818181818182,0.128564869306645,0.06558219365408845,0.006780831130056732,0.9325200299602731,51,Moderately Integrated
Bajra(Pearl Millet/Cumbu),84,2338.329411764706,206.89866326959455,1675.0,3400.0,1725.0,0.7377061552239407,0.08848140139222338,0.045135225759452474,0.02751243474197328,0.9322725782411483,52,Moderately Integrated
Paddy(Dhan)(Basmati),25,2479.96,266.78650640540263,1780.0,3000.0,1220.0,0.49194341844223294,0.10757693930765118,0.054876045878139795,0.0183468188529979,0.9317729176879945,53,Moderately Integrated
Suva (Dill Seed),6,7566.25,966.8192049188926,6500.0,9102.5,2602.5,0.3439616718982323,0.12778049957626203,0.06518207900510382,0.012827903067946412,0.927635195062819,54,Moderately Integrated
Bengal Gram(Gram)(Whole),128,7127.87969924812,683.535240358557,4801.0,10500.0,5699.0,0.7995365018016726,0.09589601244682332,0.04891749116892997,0.02981837100568393,0.9270109904236511,55,Moderately Integrated
Wood,6,513.3333333333334,66.23191577077222,420.0,600.0,180.0,0.3506493506493506,0.12902321254046534,0.06581599900762364,0.013077317179395124,0.9268757021631755,56,Moderately Integrated
Cotton,52,6631.481481481482,851.6188300678104,4000.0,8000.0,4000.0,0.6031834683049427,0.1284205998985249,0.06550860042202808,0.02249546881459759,0.9191142094731579,57,Moderately Integrated
Gur(Jaggery),76,4326.925925925926,527.7459800362715,2000.0,5480.0,3480.0,0.8042661371087163,0.12196787952253614,0.06221700482848825,0.029994760726464925,0.9155733636433586,58,Moderately Integrated
Bunch Beans,2,1700.0,282.842712474619,1500.0,1900.0,400.0,0.23529411764705882,0.1663780661615406,0.08487107414058505,0.00877519322713224,0.9143724345229894,59,Moderately Integrated
Kodo Millet(Varagu),2,2950.0,494.9747468305833,2600.0,3300.0,700.0,0.23728813559322035,0.16778804977307907,0.08559032053160695,0.008849559271429972,0.9137093945991507,60,Moderately Integrated
"Sesamum(Sesame,Gingelly,Til)",37,12114.886363636364,1721.9058831734676,9705.0,17200.0,7495.0,0.6186603633771375,0.14213141019150477,0.07250261846628864,0.02307267298005947,0.9127624617015848,61,Moderately Integrated
Persimon(Japani Fal),5,4800.0,758.287544405155,4000.0,6000.0,2000.0,0.4166666666666667,0.15797657175107396,0.08058538990676234,0.015539404673046677,0.9123048807442973,62,Moderately Integrated
Lentil (Masur)(Whole),43,6818.604651162791,1035.762570226697,5400.0,9900.0,4500.0,0.6599590723055935,0.15190242332792625,0.07748690755836579,0.024612890621292214,0.9073588450444356,63,Moderately Integrated
Turmeric,5,11883.714285714286,1950.4936737730197,8000.0,14420.0,6420.0,0.5402351357199529,0.16413165336007426,0.08372515706255808,0.02014783774212154,0.9059013171863498,64,Moderately Integrated
Groundnut (Split),2,5520.0,1032.3759005323593,4790.0,6250.0,1460.0,0.2644927536231884,0.18702461966165929,0.09540308243520473,0.009864143835933977,0.9047585744252268,65,Moderately Integrated
Paddy(Dhan)(Common),150,2202.036809815951,294.859369902653,1560.0,3775.0,2215.0,1.0058869089409692,0.1339030158752422,0.06830523427866717,0.03751412096004906,0.9043068338988579,66,Moderately Integrated
Black Gram Dal (Urd Dal),34,10270.764705882353,1543.4278862093615,5193.0,13900.0,8707.0,0.8477460295642114,0.15027390174028593,0.07665618281445652,0.0316163246720805,0.9023051580228321,67,Moderately Integrated
Ragi (Finger Millet),6,3832.1666666666665,691.3072881625557,3000.0,4750.0,1750.0,0.456660722828687,0.18039593480517263,0.09202172564408044,0.017030965848770334,0.9016704144633024,68,Moderately Integrated
Seemebadnekai,2,1750.0,353.5533905932738,1500.0,2000.0,500.0,0.2857142857142857,0.20203050891044216,0.10305773288499613,0.010655591775803434,0.8978971319253697,69,Moderately Integrated
Arhar (Tur/Red Gram)(Whole),32,9308.212121212122,1562.1992662104553,6000.0,13600.0,7600.0,0.8164833268765606,0.16783021764732028,0.08561183077549692,0.03045039558031277,0.8960073877468475,70,Moderately Integrated
Copra,5,11753.833333333334,2285.534547248557,7923.0,14000.0,6077.0,0.5170228152517619,0.19445014085463383,0.09919091321266754,0.019282144203347944,0.894076073955933,71,Moderately Integrated
Indian Beans (Seam),54,5762.037037037037,1013.6304630305405,3500.0,8000.0,4500.0,0.7809738068455728,0.17591529809946707,0.08973610916337352,0.029126083256695554,0.893765118505816,72,Moderately Integrated
Chili Red,6,19766.666666666668,3860.9152628187358,13500.0,25000.0,11500.0,0.581787521079258,0.1953245495523812,0.09963695761700408,0.021697516137070234,0.891794574594801,73,Moderately Integrated
