commodity,count,mean_modal_price,median_modal_price,std_modal_price,mean_price_range,mean_price_spread_ratio
Jute,5,5194.0,5200.0,519.79,323.0,0.06
Kabuli Chana(Chickpeas-White),10,10815.9,12387.5,3565.11,2854.6,0.25
Kakada,9,31000.0,30000.0,10618.38,3111.11,0.1
Karbuja(Musk Melon),12,4425.0,4250.0,2179.71,1190.83,0.35
Kartali (Kantola),4,7362.5,8000.0,2189.13,1450.0,0.19
Kinnow,3,2000.0,2000.0,500.0,583.33,0.32
Knool Khol,78,4121.79,4000.0,1392.34,496.15,0.13
Kodo Millet(Varagu),2,2950.0,2950.0,494.97,0.0,0.0
Kulthi(Horse Gram),7,6386.29,6650.0,747.36,1070.14,0.18
Kutki,2,3667.5,3667.5,95.46,17.5,0.0
Leafy Vegetable,10,2484.0,2250.0,1689.15,662.0,0.25
Lemon,260,10037.42,9375.0,4787.79,1309.4,0.14
Lentil (Masur)(Whole),43,6818.6,6800.0,1035.76,283.63,0.04
Lime,63,8033.65,5000.0,5766.73,931.75,0.15
Linseed,7,5704.29,5840.0,512.64,75.86,0.01
Little gourd (Kundru),37,3096.49,3000.0,1063.22,822.16,0.27
Long Melon(Kakri),2,4100.0,4100.0,1272.79,750.0,0.18
Lotus Sticks,1,5500.0,5500.0,,1000.0,0.18
Mahua,2,2600.0,2600.0,565.69,250.0,0.11
Mahua Seed(Hippe seed),2,2200.0,2200.0,0.0,500.0,0.23
Maize,171,2379.42,2349.0,486.48,269.68,0.12
Mango,12,9255.0,9450.0,4178.94,1491.67,0.25
Mango (Raw-Ripe),96,10132.19,9500.0,6069.12,1407.08,0.15
Marigold(Calcutta),29,11094.83,10000.0,5873.07,1034.48,0.1
Marigold(loose),1,3000.0,3000.0,,1000.0,0.33
Mashrooms,54,10722.39,5000.0,8879.93,1203.7,0.15
Masur Dal,25,8895.8,8515.0,903.8,323.6,0.03
Mataki,2,8279.5,8279.5,2079.6,1339.5,0.14
Methi Seeds,7,5317.86,5270.0,1695.74,677.0,0.1
Methi(Leaves),12,3227.42,1975.0,3740.75,1101.08,0.41
Mint(Pudina),158,4164.01,4000.0,1391.09,505.11,0.13
Moath Dal,2,8050.0,8050.0,3676.96,50.0,0.0
Mousambi(Sweet Lime),116,4040.34,3445.0,1556.21,516.36,0.15
Mustard,109,5898.14,5905.0,375.47,318.76,0.05
Mustard Oil,33,13350.3,13150.0,818.44,236.97,0.02
Nutmeg,2,22000.0,22000.0,2828.43,500.0,0.02
Onion,563,4848.02,4800.0,1743.89,695.5,0.16
Onion Green,168,4771.03,5000.0,1136.3,687.87,0.15
Orange,63,7458.73,6000.0,4581.97,1912.7,0.28
Other green and fresh vegetables,1,1800.0,1800.0,,800.0,0.44
Paddy(Dhan)(Basmati),25,2479.96,2500.0,266.79,273.28,0.11
Paddy(Dhan)(Common),163,2202.04,2200.0,294.86,134.11,0.06
Papaya,208,3254.42,3175.0,870.56,413.11,0.14
Papaya (Raw),8,2137.5,1950.0,890.73,275.0,0.15
Pear(Marasebu),21,5226.59,4800.0,3376.23,1311.11,0.3
Peas Wet,24,10270.83,9000.0,4323.79,2895.83,0.34
Peas cod,8,10343.75,9375.0,4405.63,937.5,0.1
Peas(Dry),12,5427.5,5027.5,1965.03,315.0,0.04
Pegeon Pea (Arhar Fali),2,6750.0,6750.0,2474.87,2000.0,0.36
Pepper ungarbled,2,61175.0,61175.0,1873.83,150.0,0.0
Persimon(Japani Fal),5,4800.0,4500.0,758.29,3300.0,0.72
Pigs,1,5300.0,5300.0,,3500.0,0.66
Pineapple,47,6507.23,5700.0,5180.0,1109.36,0.26
Plum,3,4716.67,3800.0,2456.79,3533.33,0.82
Pointed gourd (Parval),61,3710.16,3500.0,1120.36,411.8,0.11
Pomegranate,137,10885.91,7560.0,5815.6,2670.11,0.27
Potato,544,3160.45,2450.0,1736.67,399.01,0.13
Pumpkin,373,1851.23,1600.0,738.29,289.46,0.16
Raddish,253,2876.91,3000.0,987.08,372.94,0.14
Ragi (Finger Millet),6,3832.17,4009.5,691.31,475.0,0.13
Rajgir,6,5352.67,6407.5,2643.2,662.17,0.19
Rayee,1,5900.0,5900.0,,0.0,0.0
Red Gram,1,7600.0,7600.0,,400.0,0.05
Rice,162,3453.14,3237.5,629.18,311.64,0.08
Ridgeguard(Tori),231,3346.77,3400.0,1172.59,446.47,0.15
Rose(Local),27,11370.37,10000.0,5189.84,1537.04,0.13
Rose(Loose)),1,6000.0,6000.0,,1000.0,0.17
Round gourd,7,1687.14,1800.0,840.13,357.14,0.23
Rubber,5,21980.0,21600.0,614.0,141.8,0.01
Sajje,1,2125.0,2125.0,,50.0,0.02
Seemebadnekai,2,1750.0,1750.0,353.55,400.0,0.22
Seetapal,6,4225.0,3675.0,1730.25,3050.0,0.77
