market,state,count,num_commodities,mean_modal_price,std_modal_price,mean_price_range,mean_price_spread_ratio
Konch,Uttar Pradesh,13,13,3077.85,1592.9,92.31,0.04
Kondagoan,Chattisgarh,1,1,2100.0,,200.0,0.1
Kondotty,Kerala,27,27,5414.81,6082.81,288.89,0.06
Koovapadi VFPCK,Kerala,8,5,2962.5,1309.24,400.0,0.16
Kopaganj,Uttar Pradesh,10,10,1848.0,1220.26,240.0,0.14
Koraput,Odisha,3,3,5000.0,3041.38,733.33,0.14
Koraput(Semilguda),Odisha,3,3,2766.67,2369.25,466.67,0.16
Kosli,Haryana,5,5,1940.0,260.77,0.0,0.0
Kot ise Khan,Punjab,7,7,1071.43,179.95,200.0,0.19
Kota,Rajasthan,12,12,6448.75,4462.48,1572.67,0.17
Kotadwara,Uttrakhand,14,8,2621.43,550.77,292.86,0.11
Kothamangalam,Kerala,27,26,4462.96,2385.56,1259.26,0.35
Kotkapura,Punjab,1,1,2000.0,,0.0,0.0
Kotma,Madhya Pradesh,1,1,1900.0,,0.0,0.0
Kottakkal,Kerala,33,33,4369.7,2576.03,200.0,0.06
Kottarakkara,Kerala,27,23,5285.19,2680.23,955.56,0.2
Kottayam,Kerala,24,20,4958.33,2532.9,550.0,0.11
Kovilnada  VFPCK,Kerala,1,1,5000.0,,2000.0,0.4
Kovilpatti(Uzhavar Sandhai ),Tamil Nadu,40,40,5567.5,4012.51,537.5,0.12
Krishnagiri(Uzhavar Sandhai ),Tamil Nadu,49,49,5418.37,5227.28,832.65,0.16
Kudchi,Karnataka,1,1,2400.0,,200.0,0.08
Kukshi,Madhya Pradesh,3,2,4166.67,2540.34,874.67,0.32
Kulgam,Jammu and Kashmir,3,2,4153.33,631.29,540.0,0.13
Kulithalai(Uzhavar Sandhai ),Tamil Nadu,46,46,5015.22,3067.03,1043.48,0.21
Kullu,Himachal Pradesh,9,9,3377.78,1155.18,788.89,0.22
Kullu(Chauri Bihal),Himachal Pradesh,8,8,4675.0,3012.24,1687.5,0.45
Kullu(Patli Kuhal),Himachal Pradesh,1,1,4000.0,,4000.0,1.0
Kumarapalayam(Uzhavar Sandhai ),Tamil Nadu,40,40,4310.0,2531.52,680.0,0.17
Kumbakonam (Uzhavar Sandhai ),Tamil Nadu,51,51,7129.41,6868.57,776.47,0.1
Kundrathur(Uzhavar Sandhai ),Tamil Nadu,37,37,6108.11,3824.8,935.14,0.17
Kurara,Uttar Pradesh,2,2,2950.0,1060.66,200.0,0.07
Kurawar,Madhya Pradesh,2,2,5117.5,1361.18,2247.5,0.45
Kurichi(Uzhavar Sandhai ),Tamil Nadu,25,25,5448.0,5972.51,588.0,0.12
Kuruppanthura,Kerala,28,26,6603.57,3093.78,1035.07,0.18
Kurwai,Madhya Pradesh,2,2,5195.0,1548.56,70.0,0.01
Kustagi,Karnataka,6,6,4726.5,2624.34,49.33,0.02
Ladwa,Haryana,19,19,4405.26,3372.68,378.95,0.08
Lakhanpuri,Chattisgarh,1,1,2200.0,,0.0,0.0
Lakhimpur,Uttar Pradesh,30,30,4475.17,3298.46,120.0,0.04
Lakshar,Uttrakhand,2,2,2392.5,81.32,202.5,0.08
Lalbagh,West Bengal,3,3,6216.67,3345.27,130.0,0.02
Lalganj,Uttar Pradesh,4,4,2925.0,806.74,91.25,0.03
Lalgudi(Uzhavar Sandhai ),Tamil Nadu,45,45,4995.56,2701.26,277.78,0.04
Lalru,Punjab,15,15,2820.0,1346.0,213.33,0.11
Lalsot,Rajasthan,4,4,4627.5,2542.35,286.0,0.08
Lasalgaon,Maharashtra,1,1,3850.0,,1139.0,0.3
Lasalgaon(Vinchur),Maharashtra,1,1,3850.0,,2200.0,0.57
Lashkar,Madhya Pradesh,4,4,3661.25,2015.11,186.25,0.07
Latur(Murud),Maharashtra,1,1,4551.0,,111.0,0.02
LavKush Nagar(Laundi),Madhya Pradesh,7,5,6990.0,3533.4,560.0,0.07
Laxmeshwar,Karnataka,15,15,4963.0,2859.47,2601.47,0.49
Lediyari,Uttar Pradesh,1,1,2500.0,,120.0,0.05
Limkheda,Gujarat,3,3,2193.33,361.43,286.67,0.14
Lormi,Chattisgarh,2,1,2092.0,11.31,0.0,0.0
Lucknow,Uttar Pradesh,32,32,4936.56,3648.09,118.75,0.03
Ludhiana,Punjab,33,33,2777.27,2413.86,2269.7,0.75
Madagadipet,Pondicherry,4,1,2040.5,118.06,0.0,0.0
Madanapalli,Andhra Pradesh,1,1,5400.0,,2400.0,0.44
Madanganj Kishangarh,Rajasthan,5,5,4370.2,1326.75,2406.0,0.47
Madathukulam,Tamil Nadu,1,1,2270.0,,100.0,0.04
Madhira,Telangana,1,1,2300.0,,0.0,0.0
Madhoganj,Uttar Pradesh,18,18,4051.11,2203.25,77.22,0.03
Madhogarh,Uttar Pradesh,1,1,2610.0,,20.0,0.01
Madhugiri,Karnataka,1,1,2100.0,,420.0,0.2
Madhuranthagam(Uzhavar Sandhai ),Tamil Nadu,30,30,4083.33,1059.3,583.33,0.15
Madikeri,Karnataka,1,1,36000.0,,9000.0,0.25
Mahboob Manison,Telangana,17,15,4252.94,3557.76,1605.88,0.35
Mahbubnagar,Telangana,3,3,3869.33,1473.03,482.33,0.16
Mahidpur,Madhya Pradesh,1,1,2675.0,,275.0,0.1
Mahoba,Uttar Pradesh,22,22,4995.23,3640.91,211.82,0.06
Mahuva(Anaval),Gujarat,1,1,3200.0,,200.0,0.06
Mahuva(Station Road),Gujarat,12,10,6463.75,5672.95,2029.17,0.54
Maigalganj,Uttar Pradesh,11,11,2973.18,2103.39,67.73,0.03
Mainpuri,Uttar Pradesh,29,29,4651.41,3991.24,230.69,0.06
Makdi,Chattisgarh,1,1,1800.0,,0.0,0.0
Malegaon,Maharashtra,7,7,4736.14,2892.74,1398.43,0.34
Malerkotla,Punjab,21,21,2623.81,1688.17,1019.05,0.42
Mallial(Cheppial),Telangana,1,1,2225.0,,0.0,0.0
Malpur,Gujarat,1,1,2262.5,,25.0,0.01
Malpura,Rajasthan,9,9,4498.89,2198.9,416.22,0.08
Malpura(Todaraisingh),Rajasthan,6,6,4540.5,2380.54,506.83,0.11
Malur,Karnataka,5,5,3733.0,641.34,740.0,0.2
Manachanallur,Tamil Nadu,1,1,1850.0,,532.0,0.29
Manachanallur(Uzhavar Sandhai ),Tamil Nadu,37,37,5735.14,6182.56,743.24,0.08
Manakodur,Telangana,2,1,2193.0,14.14,0.0,0.0
Manapparai(Uzhavar Sandhai ),Tamil Nadu,39,39,5710.26,5657.54,348.72,0.06
Manathavady,Kerala,12,12,11008.33,17820.24,183.33,0.06
Manawar,Madhya Pradesh,1,1,1550.0,,0.0,0.0
Manawar(F&V),Madhya Pradesh,9,9,2150.0,1020.42,200.0,0.11
Mandawari,Rajasthan,3,3,3862.0,2413.9,363.33,0.11
Mandi(Mandi),Himachal Pradesh,33,33,5915.15,5701.49,1990.91,0.41
Mandi(Takoli),Himachal Pradesh,11,11,4427.27,2362.24,3118.18,0.64
Mandla,Madhya Pradesh,2,2,2090.0,155.56,0.0,0.0
Mandsaur,Madhya Pradesh,9,8,7242.33,5794.73,1506.89,0.18
Mandya,Karnataka,4,1,3737.5,85.39,378.75,0.1
Mangal Wedha,Maharashtra,1,1,3000.0,,4050.0,1.35
Mangaon,Maharashtra,1,1,3500.0,,2900.0,0.83
Mangrol,Gujarat,5,5,5178.0,2221.43,166.0,0.05
Manjeri,Kerala,45,45,6534.44,9461.4,100.0,0.03
Manjhanpur,Uttar Pradesh,15,15,3424.0,2180.5,161.67,0.06
Manmad,Maharashtra,1,1,3650.0,,2749.0,0.75
Mannar,Kerala,3,3,4800.0,2029.78,233.33,0.05
Mannargudi I(Uzhavar Sandhai ),Tamil Nadu,43,43,7325.58,6945.4,1167.44,0.09
Mannargudi II(Uzhavar Sandhai ),Tamil Nadu,35,35,6057.14,6454.51,720.0,0.06
Mansa,Punjab,7,7,4842.14,1840.0,1148.57,0.19
Mansa(Manas Veg Yard),Gujarat,10,10,3100.0,2319.0,300.0,0.18
Manthani,Telangana,1,1,2203.0,,0.0,0.0
Manubazar,Tripura,4,4,14250.0,10602.67,3000.0,0.17
Maranelloor VFPCK,Kerala,19,2,3726.32,1310.15,652.63,0.19
Mathabhanga,West Bengal,5,5,3890.0,2701.94,174.0,0.05
Mathura,Uttar Pradesh,35,35,4741.43,3939.08,302.6,0.09
Mattathur VFPCK,Kerala,5,2,2300.0,1014.89,600.0,0.27
Maur,Punjab,12,12,4858.33,7376.03,333.33,0.07
Mayabandar,Andaman and Nicobar,12,12,91.25,89.5,38.33,0.43
Mayiladuthurai(Uzhavar Sandhai ),Tamil Nadu,35,35,4300.0,1720.12,457.14,0.12
Medavakkam(Uzhavar Sandhai ),Tamil Nadu,7,7,3642.86,1214.99,528.57,0.15
Medinipur(West),West Bengal,12,11,6883.33,4414.2,652.5,0.09
Meham,Haryana,11,11,2318.18,1026.47,290.91,0.14
Mehar,Madhya Pradesh,1,1,2500.0,,2575.0,1.03
Mehatpur,Punjab,5,5,2040.0,89.44,280.0,0.14
Mehgaon,Madhya Pradesh,1,1,2610.0,,10.0,0.0
Mehmoodabad,Uttar Pradesh,2,2,5575.0,3853.73,97.5,0.02
Mehndipatnam(Rythu Bazar),Telangana,24,23,3375.0,1555.98,0.0,0.0
Mehndli,Himachal Pradesh,2,2,4250.0,2474.87,4500.0,0.98
Mehrauni,Uttar Pradesh,5,5,4400.0,2110.69,480.0,0.11
Mehsana(Jornang),Gujarat,2,2,4725.0,2580.94,112.5,0.03
Mekhliganj,West Bengal,5,5,4615.0,2830.28,250.0,0.06
Melaghar,Tripura,7,6,12914.29,13149.96,1000.0,0.1
Melapalayam(Uzhavar Sandhai ),Tamil Nadu,51,51,6280.39,5968.38,974.51,0.15
Melur(Uzhavar Sandhai ),Tamil Nadu,36,36,4761.11,2994.21,850.0,0.18
Mettupalayam(Uzhavar Sandhai ),Tamil Nadu,52,52,5740.38,4884.28,638.46,0.13
Mettur(Uzhavar Sandhai ),Tamil Nadu,47,47,4614.89,2832.42,529.79,0.11
Mezhuveli  VFPCK,Kerala,2,2,4250.0,777.82,2550.0,0.66
Mhow,Madhya Pradesh,2,2,3881.0,1385.93,1360.0,0.34
Miryalaguda,Telangana,1,1,2203.0,,0.0,0.0
Mirzapur,Uttar Pradesh,30,30,5285.67,3835.65,90.5,0.03
Modasar        ,Gujarat,1,1,6900.0,,200.0,0.03
Mohamadabad,Uttar Pradesh,17,17,3277.35,1744.11,178.82,0.07
Mohammdi,Uttar Pradesh,20,20,4911.68,4114.58,86.58,0.03
Mohanur(Uzhavar Sandhai ),Tamil Nadu,34,34,4838.24,2892.94,670.59,0.15
Mohindergarh,Haryana,24,24,2733.33,1246.79,654.17,0.23
Mohol,Maharashtra,2,2,4350.0,3040.56,600.0,0.12
Moovattupuzha,Kerala,5,5,3880.0,1493.99,500.0,0.14
Morbi,Gujarat,17,17,4976.47,5583.45,1277.06,0.42
Morena,Madhya Pradesh,4,4,2598.75,2825.93,53.75,0.05
Morva Hafad,Gujarat,4,4,2168.75,211.52,437.5,0.21
Moth,Uttar Pradesh,7,7,3730.0,1724.09,144.29,0.04
Mow,Madhya Pradesh,1,1,2550.0,,20.0,0.01
Moynaguri,West Bengal,11,8,4845.45,3397.24,227.27,0.06
Mudkhed,Maharashtra,1,1,2150.0,,150.0,0.07
Mugrabaadshahpur,Uttar Pradesh,25,25,4482.8,3375.61,200.0,0.07
Mukerian,Punjab,17,17,4817.65,3389.0,1235.29,0.28
Mukerian(Talwara),Punjab,15,14,4446.67,2374.53,920.0,0.22
Mukhiguda,Odisha,5,5,3120.0,929.11,560.0,0.18
Mukkom,Kerala,26,26,5365.38,3590.2,323.08,0.06
Mulakalacheruvu,Andhra Pradesh,1,1,5000.0,,1100.0,0.22
Mullana,Haryana,1,1,2320.0,,0.0,0.0
Mullana(saha),Haryana,1,1,2320.0,,0.0,0.0
Mumbai,Maharashtra,2,2,5250.0,3889.09,4500.0,0.7
Mumbai- Fruit Market,Maharashtra,11,11,5977.27,4265.35,2954.55,0.51
Mundi,Madhya Pradesh,1,1,4000.0,,1230.0,0.31
Muradabad,Uttar Pradesh,7,7,3910.71,1692.53,47.14,0.01
Murbad,Maharashtra,1,1,2500.0,,1000.0,0.4
Muriyad  VFPCK,Kerala,4,1,3200.0,1045.63,975.0,0.32
Murud,Maharashtra,1,1,3250.0,,500.0,0.15
Musiri(Uzhavar Sandhai ),Tamil Nadu,51,51,4925.49,3260.17,825.49,0.18
Muskara,Uttar Pradesh,3,3,3250.0,957.86,166.67,0.05
Muthupettai(Uzhavar Sandhai ),Tamil Nadu,22,22,5286.36,2498.63,181.82,0.02
Muzzafarnagar,Uttar Pradesh,13,13,7384.62,4125.25,292.31,0.04
Myladi(Uzhavar Sandhai ),Tamil Nadu,11,11,6163.64,2779.31,709.09,0.12
NGO Colony(Uzhavar Sandhai ),Tamil Nadu,45,45,5315.56,3917.03,857.78,0.16
Naanpara,Uttar Pradesh,12,12,3912.5,3614.69,256.67,0.07
Nabarangpur(Umerkote),Odisha,1,1,2000.0,,0.0,0.0
Nabha,Punjab,22,22,4931.82,5012.12,1604.55,0.44
Nadiad,Gujarat,2,2,3300.0,989.95,1200.0,0.33
Nadiyad(Chaklasi),Gujarat,5,5,2010.0,760.26,390.0,0.19
Nadiyad(Piplag),Gujarat,16,16,3406.25,2661.57,503.12,0.14
Nagapattinam(Uzhavar Sandhai ),Tamil Nadu,45,45,6017.78,5425.12,800.0,0.15
Nagari,Chattisgarh,1,1,2100.0,,0.0,0.0
Nagarkurnool,Telangana,1,1,2123.0,,349.0,0.16
Nagda,Madhya Pradesh,2,2,4615.0,162.63,465.5,0.1
Nagina,Uttar Pradesh,1,1,8000.0,,5000.0,0.62
Nagod,Madhya Pradesh,1,1,6800.0,,200.0,0.03
Nagpur,Maharashtra,8,7,6644.62,3505.07,528.62,0.07
Nahargarh,Rajasthan,6,6,3850.83,2226.47,1049.17,0.25
Nainpur,Madhya Pradesh,1,1,2500.0,,0.0,0.0
Nakodar,Punjab,3,3,1533.33,472.58,233.33,0.16
Nalkehda,Madhya Pradesh,1,1,4522.0,,372.0,0.08
Namakkal(Uzhavar Sandhai ),Tamil Nadu,47,47,5442.55,4858.96,700.0,0.16
Nanakmatta,Uttrakhand,1,1,1650.0,,50.0,0.03
Nanganallur(Uzhavar Sandhai ),Tamil Nadu,7,7,3885.71,1451.93,571.43,0.14
Naraingarh,Haryana,24,24,3325.0,2066.56,1941.67,0.62
Naravarikuppam(Uzhavar Sandhai ),Tamil Nadu,19,19,4552.63,1778.69,0.0,0.0
Narayanpet,Telangana,1,1,3022.0,,0.0,0.0
Narharpur,Chattisgarh,1,1,2200.0,,0.0,0.0
Narnaul,Haryana,25,25,3892.0,2812.02,1000.0,0.26
Narsinghgarh,Madhya Pradesh,1,1,4200.0,,0.0,0.0
Narwal Jammu (F&V),Jammu and Kashmir,40,38,5080.0,4460.52,1120.0,0.2
Narwana,Haryana,8,8,4787.5,4453.71,837.5,0.17
Nashik(Devlali),Maharashtra,4,4,1937.5,1165.03,900.0,0.45
Nasik,Maharashtra,9,9,5466.67,4710.1,4888.89,0.73
Nasrullaganj,Madhya Pradesh,5,5,4417.2,2475.76,1582.2,0.25
Natrampalli(Uzhavar Sandhai ),Tamil Nadu,32,32,5303.12,6932.28,1209.38,0.22
Natwar,Bihar,1,1,2500.0,,200.0,0.08
Naugaon,Madhya Pradesh,2,2,3902.5,1834.94,160.0,0.03
Nautnava,Uttar Pradesh,14,14,4041.07,4104.25,199.29,0.08
Navsari,Gujarat,17,17,3869.12,1658.02,1144.12,0.35
Nawabganj,Uttar Pradesh,29,29,4516.03,3754.22,147.24,0.04
Nawalgarh,Rajasthan,1,1,6900.0,,200.0,0.03
Nawan Shahar(Subzi Mandi),Punjab,22,20,4590.91,3616.72,386.36,0.1
Nawanshahar,Punjab,1,1,2139.0,,338.0,0.16
Nawarangpur,Odisha,1,1,2000.0,,0.0,0.0
Needamangalam(Uzhavar Sandhai ),Tamil Nadu,21,21,3809.52,1723.34,0.0,0.0
Neeleswaram,Kerala,25,25,8132.0,7344.09,484.0,0.08
Neemuch,Madhya Pradesh,3,3,11690.67,12960.69,247.33,0.06
Neredcherla,Telangana,1,1,2300.0,,0.0,0.0
"New Grain Market , Jind",Haryana,1,1,2650.0,,370.0,0.14
"New Grain Market(main), Karnal",Haryana,15,15,3196.67,1757.28,1533.33,0.46
Newasa,Maharashtra,1,1,2400.0,,0.0,0.0
Neyyatinkara,Kerala,20,20,6580.0,4149.39,995.0,0.14
Nilagiri,Odisha,4,4,2762.5,926.8,225.0,0.09
Nilanga,Maharashtra,4,4,4975.0,2309.94,860.0,0.17
Nimapara,Odisha,2,2,3500.0,1414.21,1500.0,0.42
Nizar,Gujarat,1,1,7450.0,,190.0,0.03
Nizar(Kukarmuda),Gujarat,1,1,2195.0,,120.0,0.05
Nizar(Pumkitalov),Gujarat,1,1,2525.0,,170.0,0.07
Noida,Uttar Pradesh,22,22,3418.64,1672.93,132.73,0.04
Nooluvally  VFPCK,Kerala,5,3,2280.0,1138.86,600.0,0.27
North Paravur,Kerala,40,40,8365.0,14389.48,2185.0,0.24
Nuiland,Nagaland,5,5,3160.0,1108.15,260.0,0.09
Obedullaganj,Madhya Pradesh,5,4,4664.2,2479.29,304.0,0.05
Orai,Uttar Pradesh,18,18,3811.39,2003.17,429.17,0.13
Ositan Mathania,Rajasthan,2,2,12850.0,14354.27,2100.0,0.12
Paatan,Madhya Pradesh,3,3,4390.0,3379.93,856.67,0.14
Pachaur,Madhya Pradesh,3,3,4543.33,1781.15,529.33,0.11
Padampur,Odisha,3,3,5700.0,2022.37,200.0,0.04
Padappai(Uzhavar Sandhai ),Tamil Nadu,36,36,5616.67,4315.92,1602.78,0.29
Padra,Gujarat,22,22,3985.23,3009.37,788.64,0.22
Pakhanjur,Chattisgarh,1,1,2000.0,,0.0,0.0
Pala,Kerala,17,16,5017.65,1464.26,1411.76,0.3
Palacode(Uzhavar Sandhai ),Tamil Nadu,48,48,5085.42,5118.72,414.58,0.09
Palakkad,Kerala,49,43,6785.71,5621.94,1012.24,0.2
Palamaner,Andhra Pradesh,8,8,2412.5,1229.91,1025.0,0.47
Palanganatham(Uzhavar Sandhai ),Tamil Nadu,53,53,7716.98,7196.09,1837.74,0.23
Palani,Tamil Nadu,1,1,2000.0,,100.0,0.05
Palani(Uzhavar Sandhai ),Tamil Nadu,49,49,5630.61,5328.9,991.84,0.19
Palanpur,Gujarat,6,6,4469.0,2124.93,186.67,0.05
Palayam,Kerala,26,26,3386.23,2131.42,76.92,0.02
Palayamkottai(Uzhavar Sandhai ),Tamil Nadu,49,49,6138.78,6300.46,877.55,0.14
Palghar,Maharashtra,2,2,3711.5,1115.11,0.0,0.0
Paliakala,Uttar Pradesh,7,7,4130.0,1942.15,34.29,0.01
Palladam(Uzhavar Sandhai ),Tamil Nadu,33,33,4354.55,2565.04,778.79,0.2
Pallapatti (Uzhavar Sandhai ),Tamil Nadu,30,30,5066.67,2784.6,783.33,0.16
Pallavaram(Uzhavar Sandhai ),Tamil Nadu,50,50,5880.0,4547.44,850.0,0.15
Pamohi(Garchuk),Assam,4,4,4150.15,3660.9,450.02,0.12
Pampady,Kerala,28,26,4888.93,2174.2,1325.0,0.31
Panchpedwa,Uttar Pradesh,7,7,3328.57,1004.51,342.86,0.11
Pandalam,Kerala,1,1,17800.0,,2200.0,0.12
Pandanadu  VFPCK,Kerala,1,1,6500.0,,800.0,0.12
Pandhana,Madhya Pradesh,2,1,4275.0,35.36,329.5,0.08
Pandkital,Odisha,7,7,4671.43,1494.39,235.71,0.05
Panipat,Haryana,7,7,2285.71,1005.7,1357.14,0.54
Panposh,Odisha,11,11,4136.36,1886.41,400.0,0.14
Panruti(Uzhavar Sandhai ),Tamil Nadu,26,26,4134.62,1552.79,615.38,0.17
Panvel,Maharashtra,11,11,4963.64,1663.29,1090.91,0.22
Papanasam(Uzhavar Sandhai ),Tamil Nadu,21,21,4642.86,1740.85,900.0,0.17
Parala,Himachal Pradesh,2,2,4750.0,2474.87,5000.0,1.04
Paramakudi(Uzhavar Sandhai ),Tamil Nadu,40,40,10817.5,14860.32,1500.0,0.14
Paramathivelur(Uzhavar Sandhai ),Tamil Nadu,40,40,4687.5,2322.16,547.5,0.13
Parassala,Kerala,20,19,4380.0,2513.04,225.0,0.08
Parlakhemundi,Odisha,5,5,2100.0,1036.82,200.0,0.11
Partaval,Uttar Pradesh,9,9,2701.11,929.59,153.33,0.06
Paruthipattu(Uzhavar Sandhai ),Tamil Nadu,24,24,4479.17,744.24,0.0,0.0
Patan,Gujarat,16,16,5535.25,5032.08,1350.12,0.24
Pataudi,Haryana,8,8,3050.0,1826.78,837.5,0.26
Patran,Punjab,26,26,3290.77,2065.12,1546.15,0.39
Pattambi,Kerala,34,32,4561.76,2866.42,502.94,0.13
Patti,Punjab,15,15,2566.67,1558.69,593.33,0.24
Pattikonda,Andhra Pradesh,2,2,4000.0,1131.37,500.0,0.13
Pattiyam  VFPCK,Kerala,1,1,6000.0,,0.0,0.0
Pattukottai(Uzhavar Sandhai ),Tamil Nadu,35,35,5171.43,3139.74,160.0,0.02
"Pavilion Ground,Khammam,RBZ",Telangana,1,1,2600.0,,600.0,0.23
Payyannur,Kerala,12,10,11300.0,18716.64,500.0,0.06
Peddapalli,Telangana,1,1,7020.0,,0.0,0.0
Pehowa,Haryana,2,2,2862.5,1778.37,115.0,0.03
Pennagaram(Uzhavar Sandhai ),Tamil Nadu,41,41,5114.63,5226.5,304.88,0.08
Perambakkam(Uzhavar Sandhai ),Tamil Nadu,13,13,8269.23,9890.26,0.0,0.0
Perambalur(Uzhavar Sandhai ),Tamil Nadu,54,54,7405.56,7056.44,272.22,0.03
Periyakulam(Uzhavar Sandhai ),Tamil Nadu,36,36,4183.33,2825.65,336.11,0.05
Periyar Nagar(Uzhavar Sandhai ),Tamil Nadu,30,30,3953.33,2405.99,520.0,0.15
Perumbavoor,Kerala,34,34,8035.29,12124.68,1000.0,0.24
Perundurai(Uzhavar Sandhai ),Tamil Nadu,32,32,4506.25,2395.01,484.38,0.12
Petlawad,Madhya Pradesh,4,3,3037.5,1781.09,237.0,0.06
Pharasgaon,Chattisgarh,1,1,1800.0,,0.0,0.0
Phillaur(Apra Mandi),Punjab,7,7,2500.0,866.03,0.0,0.0
Pilibhit,Uttar Pradesh,8,8,5518.62,3749.41,91.25,0.02
Pimpalgaon,Maharashtra,2,2,7425.0,4702.26,10424.5,1.2
Pipariya,Madhya Pradesh,4,4,4818.75,2705.81,1802.0,0.3
Piplya,Madhya Pradesh,3,2,19032.0,12378.86,9900.0,0.41
Piro,Bihar,2,2,4085.0,657.61,70.0,0.02
Pollachi(Uzhavar Sandhai ),Tamil Nadu,41,41,7046.34,7086.58,1592.68,0.2
Polur(Uzhavar Sandhai ),Tamil Nadu,47,47,4640.43,4455.32,812.77,0.18
Porbandar,Gujarat,31,30,5696.45,4492.76,1504.84,0.28
Porsa,Madhya Pradesh,3,3,1600.0,529.15,266.67,0.15
Pothencode,Kerala,28,28,38846.43,37088.32,72.14,0.0
Pramadom VFPCK,Kerala,2,2,4600.0,1272.79,2650.0,0.68
Pratapgarh,Uttar Pradesh,27,27,5088.33,3933.92,211.11,0.06
Prithvipur,Madhya Pradesh,1,1,2625.0,,5.0,0.0
Pudukottai(Uzhavar Sandhai ),Tamil Nadu,49,49,6602.04,5726.38,1024.49,0.17
Pudur,Telangana,1,1,2225.0,,0.0,0.0
Pullur Periya  VFPCK,Kerala,6,5,3600.0,938.08,483.33,0.15
Pulpally,Kerala,12,12,10949.17,17865.78,170.0,0.06
Pulwama (F&V),Jammu and Kashmir,6,2,4583.33,961.5,1041.67,0.23
Pune,Maharashtra,61,61,4149.41,4121.01,2517.3,0.7
Pune(Khadiki),Maharashtra,19,19,1819.68,1183.66,474.21,0.33
Pune(Moshi),Maharashtra,40,40,3973.1,3667.0,802.88,0.25
Pune(Pimpri),Maharashtra,10,10,2107.4,1646.59,90.8,0.14
Punhana,Haryana,13,13,2338.46,1460.9,53.85,0.04
Puramattom VFPCK,Kerala,1,1,1000.0,,300.0,0.3
Puranpur,Uttar Pradesh,7,7,5196.43,3840.95,87.86,0.02
Purulia,West Bengal,9,9,6041.11,4990.11,217.78,0.07
Purwa,Uttar Pradesh,17,17,3591.18,3329.78,96.76,0.04
Puthenvelikkara  VFPCK,Kerala,1,1,3700.0,,200.0,0.05
Puthupariyaram  VFPCK,Kerala,1,1,1000.0,,0.0,0.0
Puwaha,Uttar Pradesh,21,21,3995.95,3676.43,200.0,0.08
Quilandy,Kerala,24,24,3870.83,1882.52,170.83,0.05
RSPuram(Uzhavar Sandhai ),Tamil Nadu,61,61,6434.43,5759.6,1136.07,0.16
Radaur,Haryana,21,21,2761.9,1561.88,585.71,0.23
Rahama,Odisha,4,4,6800.0,7511.77,9150.0,0.97
Rahuri,Maharashtra,1,1,2650.0,,300.0,0.11
Raibareilly,Uttar Pradesh,31,31,4539.52,3905.72,87.26,0.03
Raigarh,Chattisgarh,3,3,3333.33,950.44,800.0,0.23
Raipur,Chattisgarh,2,1,2045.5,13.44,1.5,0.0
Raipur Rai,Haryana,12,12,1791.67,742.79,300.0,0.17
Raisen,Madhya Pradesh,1,1,2975.0,,0.0,0.0
Rajakkad  VFPCK,Kerala,2,2,3500.0,707.11,0.0,0.0
Rajapalayam,Tamil Nadu,1,1,1950.0,,100.0,0.05
Rajapalayam(Uzhavar Sandhai ),Tamil Nadu,40,40,5570.0,4170.79,645.0,0.14
Rajgarh,Madhya Pradesh,1,1,4400.0,,2600.0,0.59
Rajkot,Gujarat,21,17,8327.62,5562.82,1858.1,0.19
Rajkot(Veg.Sub Yard),Gujarat,11,11,4384.09,2872.33,2150.0,0.52
Rajnagar,Madhya Pradesh,1,1,12000.0,,500.0,0.04
Rajouri (F&V),Jammu and Kashmir,21,21,5150.0,2467.69,252.38,0.05
Rajpipla,Gujarat,1,1,2520.0,,1075.0,0.43
Rajpura,Punjab,1,1,2690.0,,475.0,0.18
Rajula,Gujarat,9,9,5221.89,2981.13,1435.56,0.31
Ramanagara,Karnataka,22,21,2950.0,1822.02,1177.27,0.38
Ramanathapuram(Uzhavar Sandhai ),Tamil Nadu,26,26,9557.69,11979.49,1023.08,0.11
Ramkrishanpur(Howrah),West Bengal,12,11,7303.33,4279.27,710.83,0.12
Rampur,Uttar Pradesh,18,18,3561.67,1831.58,90.83,0.03
Rampuraphul(Nabha Mandi),Punjab,8,8,4087.5,2633.0,1925.0,0.44
Rampurhat,West Bengal,7,6,3236.14,1605.58,108.57,0.03
Rampurmaniharan,Uttar Pradesh,20,20,2665.0,1682.11,130.0,0.06
Ranaghat,West Bengal,8,8,4745.0,2055.15,136.25,0.03
Ranipettai(Uzhavar Sandhai ),Tamil Nadu,56,56,6932.14,7501.59,875.0,0.11
Raniwara,Rajasthan,2,2,5025.0,35.36,50.0,0.01
Ranniangadi,Kerala,7,7,4285.71,1242.88,100.0,0.03
Rapar,Gujarat,4,4,10561.25,9611.61,1956.25,0.26
Rasda,Uttar Pradesh,27,27,4934.81,3833.16,143.89,0.05
Rasipuram(Uzhavar Sandhai ),Tamil Nadu,50,50,5956.0,6344.99,1062.0,0.18
Ratia,Haryana,7,7,3342.86,873.42,1671.43,0.51
Ratlam,Madhya Pradesh,3,3,10581.33,10849.73,1619.33,0.21
Ratnagiri (Nachane),Maharashtra,12,12,2425.0,1313.65,1125.0,0.45
Raver,Maharashtra,3,3,3948.33,2476.35,16.67,0.01
Rayya,Punjab,8,8,2350.0,595.22,0.0,0.0
Rehati,Madhya Pradesh,1,1,6470.0,,30.0,0.0
