market,state,avg_price_spread_ratio,avg_composite_risk,n_commodities,market_instability_index,market_rank
Jam Khambalia,Gujarat,0.11003534550094453,0.1159700298869334,11,0.11240921925534007,864
Doharighat,Uttar Pradesh,0.027133526344624025,0.23987820491753548,9,0.1122313977737886,865
Tiruvallur(Uzhavar Sandhai ),Tamil Nadu,0.0,0.28012318873072317,24,0.11204927549228927,866
Kawai Salpura (Atru),Rajasthan,0.11929485483049324,0.10111822611913933,6,0.11202420334595167,867
Jammikunta,Telangana,0.109375,0.1157715050588452,1,0.11193360202353808,868
Khajuwala,Rajasthan,0.1210672562596396,0.09785621945722262,2,0.11178284153867281,869
Lalbagh,West Bengal,0.023465753424657534,0.2437882768393095,3,0.11159476279051833,870
Badwani(F&V),Madhya Pradesh,0.0,0.2784388305934825,10,0.11137553223739301,871
Dhanera,Gujarat,0.11783142299679636,0.10125416455384252,10,0.11120051961961483,872
Mahoba,Uttar Pradesh,0.05958387527835269,0.18826626732450033,22,0.11105683209681175,873
Jambusar,Gujarat,0.12005283960225817,0.09748648465462337,8,0.11102629762320425,874
Safdarganj,Uttar Pradesh,0.02625968406091265,0.23805717174768998,20,0.11097867913562358,875
Yeotmal,Maharashtra,0.11284459730900998,0.10791295661012434,5,0.11087194102945572,876
Perambakkam(Uzhavar Sandhai ),Tamil Nadu,0.0,0.2768737711943954,13,0.11074950847775816,877
Valangaiman,Tamil Nadu,0.0,0.2768255798131772,23,0.11073023192527087,878
Kamlaganj,Uttar Pradesh,0.0323738005840634,0.22792055627368707,2,0.11059250285991287,879
Devaram(Uzhavar Sandhai ),Tamil Nadu,0.026388888888888885,0.23621729914122475,30,0.11032025298982323,880
Sami,Gujarat,0.12312516893623757,0.0911033495895959,5,0.1103164411975809,881
Mahidpur,Madhya Pradesh,0.102803738317757,0.12109335102231997,1,0.1101195833995822,882
Bhikhiwind,Punjab,0.0769230769230769,0.1598896698719829,2,0.11010971410263928,883
Baraut,Uttar Pradesh,0.05398702386304504,0.19246711424947188,28,0.10937906001761577,884
Deesa,Gujarat,0.1262063723397375,0.08413013500178802,7,0.1093758774045577,885
Mehndipatnam(Rythu Bazar),Telangana,0.0,0.2734012073187157,23,0.10936048292748629,886
Haathras,Uttar Pradesh,0.052936924648930225,0.193531376174533,25,0.10917470525917135,887
Bahedi,Uttar Pradesh,0.042681152110242045,0.20841943717777242,6,0.1089764661372542,888
Sankarapuram(Uzhavar Sandhai ),Tamil Nadu,0.021794871794871794,0.23964757179187252,39,0.10893595179367208,889
Kannod,Madhya Pradesh,0.12428571428571425,0.0850587959972444,2,0.10859494697032632,890
Richha,Uttar Pradesh,0.05406497017722565,0.189496564041667,4,0.1082376077230022,891
Kosli,Haryana,0.0,0.2700046505485455,5,0.10800186021941821,892
Tundla,Uttar Pradesh,0.01701338039610788,0.24182602219295385,21,0.10693843711484627,893
Pandalam,Kerala,0.1235955056179775,0.08162624115892611,1,0.10680779983435694,894
Jambusar(Kaavi),Gujarat,0.11516302794193257,0.09411407517352385,7,0.10674344683456909,895
Viramgam,Gujarat,0.10235242210397692,0.11287845967804717,5,0.10656283713360502,896
Viswan,Uttar Pradesh,0.029041165831934224,0.22271926801897027,24,0.10651240670674865,897
Armori,Maharashtra,0.12,0.08496534601510954,1,0.10598613840604382,898
Morena,Madhya Pradesh,0.046062691131498454,0.1956763039721799,4,0.10590813626777103,899
Yemmiganur,Andhra Pradesh,0.1447758590615733,0.047313173438466805,1,0.1057907848123307,900
Sehora,Madhya Pradesh,0.08100366920163869,0.1407983829831582,3,0.1049215547142465,901
Mirzapur,Uttar Pradesh,0.026439752585520983,0.2219024657407464,30,0.10462483784761116,902
Ghaziabad,Uttar Pradesh,0.0316474011382046,0.21282506841066515,37,0.10411846804718881,903
Siddhpur,Gujarat,0.11715788498441329,0.08415732914280713,8,0.10395766264777082,904
Harsood,Madhya Pradesh,0.11925076675916454,0.08045462228468535,1,0.10373230896937287,905
Malpura(Todaraisingh),Rajasthan,0.11190049008924723,0.09141786436512311,6,0.10370743979959758,906
Varanasi,Uttar Pradesh,0.034961414246754405,0.20627729016782032,36,0.10348776461518076,907
Wazirganj,Uttar Pradesh,0.04767151525709137,0.18687195900122508,3,0.10335169275474484,908
Pachaur,Madhya Pradesh,0.11151237773892586,0.0910564083040606,3,0.10332998996497975,909
"New Grain Market , Jind",Haryana,0.1396226415094339,0.04790862785971381,1,0.10293703604954586,910
Thoothukudi,Tamil Nadu,0.0735294117647058,0.14473683693526315,1,0.10201238183292874,911
Paruthipattu(Uzhavar Sandhai ),Tamil Nadu,0.0,0.2543469142339909,24,0.10173876569359637,912
Kalanjoor  VFPCK,Kerala,0.0,0.25402114696390965,1,0.10160845878556386,913
Mehrauni,Uttar Pradesh,0.10972027972027969,0.08857501819560516,5,0.10126217511040987,914
Kondagoan,Chattisgarh,0.0952380952380952,0.10975453770651819,1,0.1010446722254644,915
Bhopalpattnam,Chattisgarh,0.1458944281524926,0.03238402534933485,2,0.10049026703122949,916
Anjad,Madhya Pradesh,0.09387087022589793,0.10736571075577739,4,0.09926880643784972,917
Mandawari,Rajasthan,0.11099589284010619,0.08136530675556512,3,0.09914365840628976,918
Naravarikuppam(Uzhavar Sandhai ),Tamil Nadu,0.0,0.2472722696359448,19,0.09890890785437793,919
Lashkar,Madhya Pradesh,0.06616652521251798,0.14754562377688785,4,0.09871816463826594,920
LavKush Nagar(Laundi),Madhya Pradesh,0.0715730846868745,0.13872823517632588,5,0.09843514488265506,921
Tirumalagiri,Telangana,0.09478255557922148,0.10332482523108381,4,0.09819946343996641,922
Vijapur(Kukarvada),Gujarat,0.10668744971842314,0.08420326223039339,2,0.09769377472321124,923
Bachranwa,Uttar Pradesh,0.028902597762368743,0.2005928716214252,7,0.09757870730599133,924
Vidisha,Madhya Pradesh,0.10317677419316633,0.08805449551826366,4,0.09712786272320525,925
Dasada Patadi,Gujarat,0.10121700098842952,0.09003898039690093,5,0.09674579275181808,926
Muradabad,Uttar Pradesh,0.013621541511183716,0.21981013029797372,7,0.09609697702589973,927
Bhogpur,Punjab,0.0,0.23991142252665285,5,0.09596456901066114,928
Kayamganj,Uttar Pradesh,0.02783429182108542,0.19810367904043244,24,0.09594204670882422,929
Sultanpur,Uttar Pradesh,0.03372807811614274,0.1890220901822439,8,0.09584568294258321,930
Madhoganj,Uttar Pradesh,0.02524279648979494,0.19904617806811406,18,0.0947641491211226,931
Mohammdi,Uttar Pradesh,0.027791880278606455,0.194392567827754,20,0.09443215529826549,932
Vaghai,Gujarat,0.1,0.08496534601510954,1,0.0939861384060438,933
Kudchi,Karnataka,0.0833333333333333,0.10975453770651819,1,0.09390181508260725,934
Petlawad,Madhya Pradesh,0.06488762626262623,0.13727641178749744,3,0.09384314047257472,935
Gogamba,Gujarat,0.0857142857142857,0.10599401713350032,2,0.09382617828197155,936
Puranpur,Uttar Pradesh,0.02393615009875616,0.19841719775126962,7,0.09372856915976155,937
Kaliaganj,West Bengal,0.09655620532813514,0.0890205235300824,3,0.09354193260891404,938
Begu,Rajasthan,0.07421875,0.12109335102231997,1,0.09296859040892799,939
Barbigha,Bihar,0.074074074074074,0.12109335102231997,1,0.0928817848533724,940
